Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1955,871.75,-708.11435377,-267.066821789,582.1062474508,513.3870667466,763.4502636873,-796.0525057166,748.7096167081,-777.0113377346,508.4507099856,-829.833341822,648.9224754766,-704.543669475,420.8227149,-355.3146079777,-446.5220849509,395.2232831348
1956,615.3333333333,-615.3247806225,1.6221541273,306.7296397903,435.6795132993,497.4334554196,-532.6237334157,554.5971128978,-568.6489419205,-3.2442969812,-615.3311951519,533.4341938657,-434.5324761193,362.2085981039,-308.1348239219,-266.5654769029,235.1031517521
1957,572.1666666667,-461.2208268158,178.1565482491,175.9104040256,463.3087160852,416.7032799809,-462.6147230406,535.8245309626,-544.2722196496,-338.600123089,-543.7232188903,544.4540606883,-335.7375880714,392.0880907368,-336.6932022934,-200.6658079076,176.4722226363
1958,637.4166666667,-194.1604167061,375.8582986506,65.6486102741,568.2773754116,405.8491775373,-473.3632459733,614.5581518021,-619.8909086773,-607.1258020616,-514.8111753643,634.0270238039,-288.7227589571,491.5144474345,-426.8808315047,-169.169397345,148.4428114924
1959,625.9166666667,195.9868230425,507.1701354578,-66.3217689978,595.490518073,334.9265231883,-418.4852285521,615.9267339495,-618.2633394093,-594.4416193411,-366.8107513567,622.3930402633,-192.7763380093,528.7682835384,-465.4479424112,-111.3819196165,97.5813340431
1960,508.1666666667,412.3064506997,483.6081863495,-157.6761198649,501.9895024505,215.9990860026,-298.4188439647,506.1468731395,-506.620021946,-297.0467165658,-156.0656374957,483.0855020961,-78.9930410898,459.9758210571,-411.3144231338,-45.2626106433,39.6170982606
1961,671.8333333333,671.8287847328,671.8321961822,-336.6300786097,671.8330490455,207.1376194026,-335.5597711028,671.8332405046,-671.8332622613,2.4722018842,1.2361030344,581.4122616122,0.6180517787,639.1040873019,-582.0306416291,0.3531724785,-0.309025922
1962,823.4166666667,664.5274921571,782.6870445602,-551.6585528848,813.1705123218,153.7491235678,-334.4922721005,820.0662963536,-820.8511313363,486.2285667378,255.7655121826,611.3001292111,129.4941111972,808.9352347046,-752.4160596701,74.2042891574,-64.9494197696
1963,424.5,129.948686643,343.0477135035,-343.6806063046,403.6235897357,26.3967524788,-130.9729602317,417.6451235979,-419.2484131412,404.1207602187,250.0370297776,249.1663918953,131.4847816627,423.6784883123,-403.789962342,75.978949288,-66.5658927575
1964,692.1666666667,-215.6837800552,406.0822400386,-632.5811011841,616.5108615931,-43.8378741472,-143.602127842,667.1512467946,-672.9869844496,657.7044940287,560.5282408315,280.9552364153,314.6570386662,690.7770517575,-677.1064342655,184.4014868295,-161.8122776735
